行标签,求和项:丁香宿舍,求和项:AB楼区域,求和项:CD楼区域,求和项:EFG楼区域
0,3848.640439,0,0,0
1,3837.096432,0,0,0
2,3824.387355,0,0,0
3,3810.43056,0,0,0
4,3795.141822,0.600991884,0,1.527586898
5,3778.435847,8.620065113,0,3.247784724
6,3760.226838,17.50807838,0,5.180042786
7,3740.429124,27.33643103,2.128578781,7.345083786
8,3718.957839,38.17958195,11.86784984,9.764894451
9,3695.729652,50.11485371,22.68812116,12.46270166
10,3670.663549,64.74978035,34.68151482,15.4629327
11,3643.681644,80.83167401,47.9444764,26.7138427
12,3614.710031,98.46428425,62.57755537,39.17488741
13,3583.679659,117.7542722,78.68512616,52.94355329
14,3550.527214,138.8107823,96.37504756,68.12112708
15,3515.196013,161.7449558,115.7582585,84.8123634
16,3477.636884,186.6693869,136.9483094,103.1250892
17,3437.809032,213.6975209,160.0608276,123.169744
18,3395.680869,242.9429989,185.2129192,145.0588559
19,3351.230802,274.5189491,212.5225068,168.9064542
20,3304.447962,308.5372297,242.1076069,194.8274194
21,3255.332865,345.1076276,274.0855487,222.9367747
22,3203.897989,384.3370172,308.5721412,253.3489214
23,3150.168259,426.3284865,345.6807905,286.1768239
24,3094.18143,471.180436,385.5215771,321.5311488
25,3035.988349,518.9856592,428.2002981,359.5193667
26,2975.653101,569.8304114,473.8174832,400.2448227
27,2913.253027,624.1300316,522.5635535,443.853864
28,2848.878599,681.6723279,574.4447592,490.3983495
29,2782.63317,743.3278869,629.7710953,540.0791423
30,2714.632574,808.4551119,688.4141463,592.8745692
31,2645.004597,877.11336,750.4386886,648.8557636
32,2573.888303,953.9644691,817.2167138,708.7432317
33,2501.433246,1034.912315,887.6094942,771.9974558
34,2427.79854,1120.019259,961.6573708,838.6633825
35,2353.151829,1209.336496,1039.387851,908.7740921
36,2277.668149,1302.903368,1120.814897,982.3500967
37,2201.528704,1400.746729,1205.938292,1059.398716
38,2124.919558,1502.880369,1294.743099,1139.913538
39,2048.030278,1609.304494,1387.199219,1223.873978
40,1971.052524,1720.005287,1483.261049,1311.244935
41,1894.17862,1834.954529,1582.867254,1401.976556
42,1817.600112,1954.109307,1685.940655,1496.004111
43,1741.506336,2077.411801,1792.38824,1593.247988
44,1666.083019,2204.78915,1902.101286,1693.613792
45,1591.510917,2336.153408,2014.955619,1796.992573
46,1517.96452,2471.401594,2130.811984,1903.261161
47,1445.610829,2610.415815,2249.516544,2012.282617
48,1374.608231,2753.063497,2370.901492,2123.906794
49,1305.10547,2899.197694,2494.785779,2237.970997
50,1237.24074,3048.657486,2620.975945,2354.300749
51,1171.14089,3201.268468,2749.267063,2472.710641
52,1106.920776,3356.843322,2879.443757,2593.005266
53,1044.682731,3515.182468,3011.281321,2714.980229
54,984.5161862,3676.074798,3144.5469,2838.423218
55,926.4974227,3839.298478,3279.000743,2963.115136
56,870.6894651,4004.621829,3414.397501,3088.831263
57,817.1421066,4171.804261,3550.487569,3215.342472
58,765.892063,4340.597272,3687.018457,3342.416443
59,716.963249,4510.7455,3823.736171,3469.818913
60,670.3671666,4681.98782,3960.386609,3597.314908
61,626.1033985,4854.058474,4096.716935,3724.669979
62,584.1601923,5026.688241,4232.476945,3851.651414
63,544.5151277,5199.60562,4367.420391,3978.029426
64,507.1358504,5372.538043,4501.306269,4103.578299
65,471.980864,5545.213078,4633.90005,4228.077497
66,439.0003643,5717.359642,4764.974852,4351.312715
67,408.1371047,5888.709202,4894.312532,4473.076875
68,379.3272799,6058.996957,5021.704705,4593.171057
69,352.5014167,6227.962998,5146.953676,4711.405359
70,327.5852597,6395.353424,5269.873271,4827.599681
71,304.5006426,6560.921432,5390.289581,4941.584436
72,283.1663349,6724.428343,5508.041592,5053.201173
73,263.4988557,6885.644586,5622.981718,5162.303119
74,245.413248,7044.350603,5734.976228,5268.755637
75,228.823806,7200.337704,5843.905556,5372.436594
76,213.6447518,7353.408839,5949.664517,5473.236641
77,199.7908561,7503.379286,6052.162406,5571.059412
78,187.1780019,7650.077275,6151.323002,5665.821629
79,175.7236875,7793.344507,6247.084471,5757.45313
80,165.3474694,7933.036599,6339.399166,5845.896806
81,155.9713453,8069.023435,6428.233353,5931.10847
82,147.5200775,8201.189423,6513.566831,6013.056636
83,139.9214588,8329.433673,6595.392498,6091.722233
84,133.1065243,8453.670071,6673.715822,6167.098252
85,127.0097095,8573.827277,6748.55427,6239.189322
86,121.5689619,8689.848628,6819.936665,6308.011233
87,116.7258064,8801.691966,6887.9025,6373.590401
88,112.4253702,8909.329379,6952.50122,6435.963291
89,108.616371,9012.746868,7013.791457,6495.175789
90,105.2510732,9111.943945,7071.840254,6551.282549
91,102.2852149,9206.933165,7126.722266,6604.346303
92,99.67791161,9297.739592,7178.518953,6654.437152
93,97.39153919,9384.400216,7227.317779,6701.631839
94,95.39160061,9466.963314,7273.211404,6746.013014
95,93.64657982,9545.487779,7316.296899,6787.668491
96,92.12778602,9620.042398,7356.674975,6826.690515
97,90.80919143,9690.705115,7394.449237,6863.175033
98,89.66726525,9757.562259,7429.725463,6897.220977
99,88.68080627,9820.70776,7462.61092,6928.929571
100,87.83077618,9880.242357,7493.213712,6958.403662
101,87.10013553,9936.272795,7521.642173,6985.747074
102,86.47368379,9988.91103,7548.004297,7011.064004
103,85.9379048,10038.27344,7572.407211,7034.458441
104,85.48081871,10084.48003,7594.956698,7056.03364
105,85.09184111,10127.65371,7615.75676,7075.891621
106,84.76164996,10167.91953,7634.909229,7094.132722
107,84.48206066,10205.40396,7652.513424,7110.855188
108,84.24590958,10240.23424,7668.665849,7126.154813
109,84.04694601,10272.53773,7683.459942,7140.124617
110,83.87973246,10302.44128,7696.985857,7152.854576
111,83.73955324,10330.07068,7709.330292,7164.431387
112,83.62233098,10355.55014,7720.576351,7174.938284
113,83.52455082,10379.0018,7730.80345,7184.454889
114,83.4431918,10400.54529,7740.087244,7193.057098
115,83.37566518,10420.29732,7748.499595,7200.817015
116,83.31975918,10438.37139,7756.108569,7207.802909
117,83.27358957,10454.87741,7762.978447,7214.079206
118,83.23555591,10469.92152,7769.169774,7219.706513
119,83.20430271,10483.6058,7774.739421,7224.741661
总计,164835.4546,589679.4741,463968.9466,426576.5204
